system,system_label,case,case_index,description,replicate,seed,config,steric,microtubules,mt_mode,actin_mode,division,steps,frames,duration_s,box_x,box_y,box_z,scale_factor,material_scale,actin_total_polymer,actin_max_length,fixed_mt_length,mt_fibers_per_site
small_system,small 12x12x1.2 um,06_division_fixed_mt_perinuclear_actin_long,6,Two-to-four division with fixed-length tethered MTs and free perinuclear actin.,r0003,62603,small_system/06_division_fixed_mt_perinuclear_actin_long/r0003/config.cym,1,True,fixed,perinuclear,True,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,06_division_fixed_mt_perinuclear_actin_long,6,Two-to-four division with fixed-length tethered MTs and free perinuclear actin.,r0004,62604,small_system/06_division_fixed_mt_perinuclear_actin_long/r0004/config.cym,1,True,fixed,perinuclear,True,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,06_division_fixed_mt_perinuclear_actin_long,6,Two-to-four division with fixed-length tethered MTs and free perinuclear actin.,r0005,62605,small_system/06_division_fixed_mt_perinuclear_actin_long/r0005/config.cym,1,True,fixed,perinuclear,True,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,07_division_growing_mt_perinuclear_actin_long,7,Two-to-four division with growing tethered MTs and free perinuclear actin.,r0001,62701,small_system/07_division_growing_mt_perinuclear_actin_long/r0001/config.cym,1,True,growing,perinuclear,True,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,07_division_growing_mt_perinuclear_actin_long,7,Two-to-four division with growing tethered MTs and free perinuclear actin.,r0002,62702,small_system/07_division_growing_mt_perinuclear_actin_long/r0002/config.cym,1,True,growing,perinuclear,True,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,07_division_growing_mt_perinuclear_actin_long,7,Two-to-four division with growing tethered MTs and free perinuclear actin.,r0003,62703,small_system/07_division_growing_mt_perinuclear_actin_long/r0003/config.cym,1,True,growing,perinuclear,True,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,07_division_growing_mt_perinuclear_actin_long,7,Two-to-four division with growing tethered MTs and free perinuclear actin.,r0004,62704,small_system/07_division_growing_mt_perinuclear_actin_long/r0004/config.cym,1,True,growing,perinuclear,True,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
small_system,small 12x12x1.2 um,07_division_growing_mt_perinuclear_actin_long,7,Two-to-four division with growing tethered MTs and free perinuclear actin.,r0005,62705,small_system/07_division_growing_mt_perinuclear_actin_long/r0005/config.cym,1,True,growing,perinuclear,True,60000,150,300.0,12.0,12.0,1.2,1.0,1,1200,16,6.0,8
large_system,large 24x24x1.2 um,01_actin_only_perinuclear_long,1,Long free perinuclear actin control with doubled actin polymer pool.,r0001,72101,large_system/01_actin_only_perinuclear_long/r0001/config.cym,1,False,none,perinuclear,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,01_actin_only_perinuclear_long,1,Long free perinuclear actin control with doubled actin polymer pool.,r0002,72102,large_system/01_actin_only_perinuclear_long/r0002/config.cym,1,False,none,perinuclear,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,01_actin_only_perinuclear_long,1,Long free perinuclear actin control with doubled actin polymer pool.,r0003,72103,large_system/01_actin_only_perinuclear_long/r0003/config.cym,1,False,none,perinuclear,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,01_actin_only_perinuclear_long,1,Long free perinuclear actin control with doubled actin polymer pool.,r0004,72104,large_system/01_actin_only_perinuclear_long/r0004/config.cym,1,False,none,perinuclear,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,01_actin_only_perinuclear_long,1,Long free perinuclear actin control with doubled actin polymer pool.,r0005,72105,large_system/01_actin_only_perinuclear_long/r0005/config.cym,1,False,none,perinuclear,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,02_fixed_mt_uniform_actin_long,2,"Fixed-length tethered MT asters, uniform free actin, doubled actin pool.",r0001,72201,large_system/02_fixed_mt_uniform_actin_long/r0001/config.cym,1,True,fixed,uniform,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,02_fixed_mt_uniform_actin_long,2,"Fixed-length tethered MT asters, uniform free actin, doubled actin pool.",r0002,72202,large_system/02_fixed_mt_uniform_actin_long/r0002/config.cym,1,True,fixed,uniform,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,02_fixed_mt_uniform_actin_long,2,"Fixed-length tethered MT asters, uniform free actin, doubled actin pool.",r0003,72203,large_system/02_fixed_mt_uniform_actin_long/r0003/config.cym,1,True,fixed,uniform,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,02_fixed_mt_uniform_actin_long,2,"Fixed-length tethered MT asters, uniform free actin, doubled actin pool.",r0004,72204,large_system/02_fixed_mt_uniform_actin_long/r0004/config.cym,1,True,fixed,uniform,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
large_system,large 24x24x1.2 um,02_fixed_mt_uniform_actin_long,2,"Fixed-length tethered MT asters, uniform free actin, doubled actin pool.",r0005,72205,large_system/02_fixed_mt_uniform_actin_long/r0005/config.cym,1,True,fixed,uniform,False,60000,150,300.0,24.0,24.0,1.2,2.0,4,4800,16,12.0,16
