case,frame,time_s,time_min,n,dx_mean,dx_sem,dy_mean,dy_sem,dz_mean,dz_sem,net_displacement_mean,net_displacement_sem
04_plus_x_cap_fixed_plus_motors,9,9.0,0.15,1,-0.1828,nan,0.0026,nan,0.005,nan,0.18288685026540316,nan
04_plus_x_cap_fixed_plus_motors,10,10.0,0.16666666666666666,1,-0.1992,nan,0.0037,nan,0.0063,nan,0.1993339409132323,nan
04_plus_x_cap_fixed_plus_motors,11,11.0,0.18333333333333332,1,-0.2095,nan,-0.0048,nan,0.0092,nan,0.20975683540709703,nan
04_plus_x_cap_fixed_plus_motors,12,12.0,0.2,1,-0.2262,nan,-0.0025,nan,0.0062,nan,0.22629876270099225,nan
04_plus_x_cap_fixed_plus_motors,13,13.0,0.21666666666666667,1,-0.2417,nan,0.0003,nan,0.0052,nan,0.24175611677887285,nan
04_plus_x_cap_fixed_plus_motors,14,14.0,0.23333333333333334,1,-0.253,nan,0.0013,nan,0.0053,nan,0.25305884691114827,nan
04_plus_x_cap_fixed_plus_motors,15,15.0,0.25,1,-0.2678,nan,-0.0011,nan,0.0039,nan,0.26783065545228385,nan
04_plus_x_cap_fixed_plus_motors,16,16.0,0.26666666666666666,1,-0.2809,nan,0.001,nan,0.0066,nan,0.2809793052877738,nan
04_plus_x_cap_fixed_plus_motors,17,17.0,0.2833333333333333,1,-0.291,nan,0.0013,nan,0.003,nan,0.29101836711795354,nan
04_plus_x_cap_fixed_plus_motors,18,18.0,0.3,1,-0.3084,nan,0.0031,nan,0.0043,nan,0.3084455543527901,nan
04_plus_x_cap_fixed_plus_motors,19,19.0,0.31666666666666665,1,-0.3196,nan,-0.0002,nan,0.003,nan,0.31961414236544666,nan
04_plus_x_cap_fixed_plus_motors,20,20.0,0.3333333333333333,1,-0.328,nan,-0.0054,nan,0.0006,nan,0.3280449969135332,nan
05_symmetric_aster_fixed_plus_motors,0,0.0,0.0,1,0.0,nan,0.0,nan,0.0,nan,0.0,nan
05_symmetric_aster_fixed_plus_motors,1,1.0,0.016666666666666666,1,0.0005,nan,-0.0041,nan,0.0001,nan,0.00413158565202272,nan
05_symmetric_aster_fixed_plus_motors,2,2.0,0.03333333333333333,1,-0.0023,nan,-0.0062,nan,-0.0062,nan,0.009064766957842876,nan
05_symmetric_aster_fixed_plus_motors,3,3.0,0.05,1,-0.0078,nan,-0.0094,nan,-0.0051,nan,0.013236691429507601,nan
05_symmetric_aster_fixed_plus_motors,4,4.0,0.06666666666666667,1,-0.0142,nan,-0.0111,nan,-0.0075,nan,0.019521782705480564,nan
05_symmetric_aster_fixed_plus_motors,5,5.0,0.08333333333333333,1,-0.0201,nan,-0.0155,nan,-0.0093,nan,0.02703238798182654,nan
05_symmetric_aster_fixed_plus_motors,6,6.0,0.1,1,-0.0301,nan,-0.0166,nan,-0.0162,nan,0.038000131578719565,nan
05_symmetric_aster_fixed_plus_motors,7,7.0,0.11666666666666667,1,-0.0391,nan,-0.0151,nan,-0.0181,nan,0.04565555825964677,nan
05_symmetric_aster_fixed_plus_motors,8,8.0,0.13333333333333333,1,-0.0439,nan,-0.015,nan,-0.0091,nan,0.047275998138590375,nan
05_symmetric_aster_fixed_plus_motors,9,9.0,0.15,1,-0.0483,nan,-0.0104,nan,-0.0078,nan,0.050018896429249615,nan
05_symmetric_aster_fixed_plus_motors,10,10.0,0.16666666666666666,1,-0.053,nan,-0.0023,nan,-0.0066,nan,0.05345886268898731,nan
05_symmetric_aster_fixed_plus_motors,11,11.0,0.18333333333333332,1,-0.0549,nan,-0.0054,nan,-0.0069,nan,0.055594783927990936,nan
