scenario,condition,replicate,run_dir,frame,time_s,time_min,fiber_class,count,avg_len,var_len,min_len,max_len,total_len,off_len
top_two_thirds_aligned,nomotor_xlink,5,r0025,120,120.0,2.0,actin,64,14.77,0.125,13.882,14.943,945.3,11.1
top_two_thirds_aligned,nomotor_xlink,5,r0025,180,180.0,3.0,actin,64,15.525,0.263,14.192,15.808,993.6,18.1
top_two_thirds_aligned,nomotor_xlink,5,r0025,780,780.0,13.0,actin,64,15.813,4.247,11.659,17.935,1012.0,135.8
top_two_thirds_aligned,rotatable_xlink,1,r0026,0,0.0,0.0,actin,64,5.0,0.0,4.973,5.0,320.0,0.0
top_two_thirds_aligned,rotatable_xlink,1,r0026,120,120.0,2.0,actin,64,14.773,0.102,13.811,14.926,945.5,9.8
top_two_thirds_aligned,rotatable_xlink,1,r0026,180,180.0,3.0,actin,64,15.523,0.236,14.202,15.791,993.5,17.2
top_two_thirds_aligned,rotatable_xlink,1,r0026,780,780.0,13.0,actin,64,15.813,3.46,12.517,17.953,1012.0,137.0
top_two_thirds_aligned,rotatable_xlink,2,r0027,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_aligned,rotatable_xlink,2,r0027,120,120.0,2.0,actin,64,14.773,0.093,13.834,14.923,945.4,9.6
top_two_thirds_aligned,rotatable_xlink,2,r0027,180,180.0,3.0,actin,64,15.512,0.216,14.217,15.793,992.8,18.0
top_two_thirds_aligned,rotatable_xlink,2,r0027,780,780.0,13.0,actin,64,15.798,3.278,13.028,18.149,1011.1,150.5
top_two_thirds_aligned,rotatable_xlink,3,r0028,0,0.0,0.0,actin,64,5.0,0.0,5.0,5.0,320.0,0.0
top_two_thirds_aligned,rotatable_xlink,3,r0028,120,120.0,2.0,actin,64,14.77,0.123,13.849,14.944,945.3,11.1
top_two_thirds_aligned,rotatable_xlink,3,r0028,180,180.0,3.0,actin,64,15.524,0.271,14.13,15.812,993.5,18.4
