scenario,condition,time_min,phase_name,n_replicates,vz_abs_mean,vz_abs_sd,vz_abs_sem,vz_abs_n,speckle_length_proxy_um_mean,speckle_length_proxy_um_sd,speckle_length_proxy_um_sem,speckle_length_proxy_um_n,chewer_band_mass_fraction_mean,chewer_band_mass_fraction_sd,chewer_band_mass_fraction_sem,chewer_band_mass_fraction_n,bottom_half_mass_fraction_mean,bottom_half_mass_fraction_sd,bottom_half_mass_fraction_sem,bottom_half_mass_fraction_n
top_two_thirds_mixed_polarity,nomotor_xlink,12.633333333333333,motor,5,0.002451012399231662,0.0017057803312881977,0.0007628481550885042,5,1001.2,42.90920647133899,19.18958050609757,5,0.26201239090253275,0.03778827598630955,0.01689943077158221,5,0.44580255791996004,0.05227674883291033,0.023378872806614055,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.65,motor,5,0.004034264011652645,0.0027009747404167102,0.0012079126250163226,5,1001.2,42.90920647133899,19.18958050609757,5,0.263437444971098,0.03707043604786529,0.01657840299171709,5,0.44744925214745124,0.05097400997356524,0.022796270277328827,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.666666666666666,motor,5,0.0029221890948835346,0.002129208544910975,0.0009522110089388707,5,1001.2,42.90920647133899,19.18958050609757,5,0.26475001022877354,0.037190718904240055,0.01663219512039345,5,0.4476426625299171,0.050999380340301936,0.022807616250256298,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.683333333333334,motor,5,0.0035292910792762656,0.0019424940044130892,0.0008687097279506887,5,1001.2,42.90920647133899,19.18958050609757,5,0.26364251583744774,0.03745717217016468,0.016751356643480306,5,0.44704551769981427,0.053762371295248475,0.0240432633695518,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.7,motor,5,0.0029605011199626387,0.002433414082778297,0.0010882558612995143,5,1001.2,42.90920647133899,19.18958050609757,5,0.2648273939584793,0.03779293518444334,0.016901514428331772,5,0.4469983597164548,0.05151860310410896,0.02303981972932386,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.716666666666667,motor,5,0.004841976974765431,0.0020380631504112808,0.0009114495493514004,5,1001.2,42.90920647133899,19.18958050609757,5,0.2652170409642038,0.03864258974280076,0.017281491498307724,5,0.4464069569066158,0.05266175014303581,0.02355105062678747,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.733333333333333,motor,5,0.00509519973347426,0.002521498865003414,0.0011276485734672398,5,1001.2,42.90920647133899,19.18958050609757,5,0.26391194815084446,0.03782295276780732,0.016914938699716196,5,0.4461908602661085,0.05430889377050786,0.024287675650734086,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.75,motor,5,0.0036525367396244264,0.0016949709115798655,0.0007580140356354729,5,1000.8,43.57981183988751,19.48948434412773,5,0.2655375121592604,0.03874364541065137,0.01732668496687284,5,0.4466015821940763,0.05512876834188246,0.024654334705657508,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.766666666666666,motor,5,0.0025718806459896913,0.002395859137006582,0.0010714607789721398,5,1000.8,43.57981183988751,19.48948434412773,5,0.2640755918817663,0.03873869299009421,0.01732447017706905,5,0.4449771497259453,0.05515988936022728,0.024668252448167116,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.783333333333333,motor,5,0.005488925334318097,0.0018602080888201786,0.0008319103477793771,5,1000.8,43.57981183988751,19.48948434412773,5,0.26356443099742816,0.03820765807281026,0.01708698414237447,5,0.44600862876666525,0.05527826706365059,0.02472119256654208,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.8,motor,5,0.006175785328178166,0.006224362322148858,0.002783619453782658,5,1000.8,43.57981183988751,19.48948434412773,5,0.2630660478047475,0.03966117650061542,0.01773701734459866,5,0.443778639702741,0.055373274857528375,0.024763681343642683,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.816666666666666,motor,5,0.008153272168033165,0.003589625713599004,0.0016053294218777128,5,1001.2,43.30357952871795,19.365949499056327,5,0.2662669022556803,0.0402786941966485,0.018013179653726466,5,0.44523740073096196,0.05555731048821016,0.024845984579739987,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.833333333333334,motor,5,0.004654099776468073,0.0037794374591562214,0.001690215815076479,5,1001.2,43.30357952871795,19.365949499056327,5,0.2639759348390455,0.038869012774794494,0.01738275095654964,5,0.44567554672471943,0.055513475470723786,0.024826380963961104,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.85,motor,5,0.004617877277876716,0.004736829741770372,0.0021183746600882654,5,1000.8,42.745760023656146,19.11648503255763,5,0.265874468540563,0.03744254257455839,0.01674481408942851,5,0.4456813623278378,0.0542528525884996,0.024262613272232104,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.866666666666667,motor,5,0.004721635482748241,0.003492141422404552,0.0015617331215078772,5,1000.8,42.745760023656146,19.11648503255763,5,0.26542257137446923,0.03742683906841108,0.016737791267982412,5,0.4467216367694301,0.05391104925320406,0.024109754173700707,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.883333333333333,motor,5,0.002380558437896876,0.0014096671694582884,0.0006304223233116897,5,1000.8,42.745760023656146,19.11648503255763,5,0.26449059575338496,0.03756312104282004,0.01679873841975968,5,0.44623077602900885,0.05468923735894893,0.024457770474446174,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.9,motor,5,0.0035122963078277405,0.0007867283578589176,0.00035183561759986415,5,1000.8,42.745760023656146,19.11648503255763,5,0.26690918141229986,0.03832863169981697,0.01714108519306881,5,0.44644443478726076,0.05401351809719151,0.024155579633847058,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.916666666666666,motor,5,0.003139709584075533,0.0017256220680627447,0.0007717216495324132,5,1000.8,42.745760023656146,19.11648503255763,5,0.26603610092896984,0.038364951398307805,0.01715732785601837,5,0.44770062528980537,0.05365158317463173,0.023993717415792103,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.933333333333334,motor,5,0.0030166552929490518,0.002653997415372671,0.0011869037265764075,5,1000.8,42.745760023656146,19.11648503255763,5,0.26560639112059675,0.03889074661625271,0.0173924706259322,5,0.4480966931119982,0.053770398016704864,0.02404685302851439,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.95,motor,5,0.00506339896005753,0.003189736145697867,0.0014264933704137206,5,1000.8,42.745760023656146,19.11648503255763,5,0.2662289867271924,0.039246312975950604,0.017551484736091524,5,0.44591597081786405,0.054175180542384425,0.0242278772772191,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.966666666666667,motor,5,0.00604233430542191,0.004250526274965723,0.0019008931381944638,5,1000.8,42.745760023656146,19.11648503255763,5,0.2658262387172412,0.03763400686456348,0.016830439522971533,5,0.4458699360876506,0.05481990835183607,0.02451620831900278,5
top_two_thirds_mixed_polarity,nomotor_xlink,12.983333333333333,motor,5,0.00459542120635281,0.004581033391701109,0.00204870041420802,5,1000.8,42.745760023656146,19.11648503255763,5,0.2651437493359208,0.03756484512782948,0.0167995094540157,5,0.4472340025096068,0.05432227207757022,0.024293658611537147,5
top_two_thirds_mixed_polarity,nomotor_xlink,13.0,motor,5,0.006519472966235873,0.0028335964071127804,0.001267222837420669,5,1000.8,42.745760023656146,19.11648503255763,5,0.2662063601713142,0.03704736479560958,0.016568085214043123,5,0.44704220951556267,0.055356133482711525,0.024756015487779028,5
top_two_thirds_mixed_polarity,rotatable_xlink,0.0,growth,5,0.05926312473648974,0.06018096800036424,0.026913747080110805,5,324.8,24.437675830569486,10.9288608738514,5,0.04411708297240398,0.023948979254980098,0.010710309121173553,5,0.3174751867704326,0.06039031819487926,0.02700737133331848,5
top_two_thirds_mixed_polarity,rotatable_xlink,0.016666666666666666,growth,5,0.029377422318392733,0.023406060151192416,0.01046750831670305,5,339.6,27.655017627909768,12.367699866992245,5,0.052382204991583005,0.031131818079450212,0.013922572297761525,5,0.31841165185017806,0.05184552355579993,0.02318602299996705,5
top_two_thirds_mixed_polarity,rotatable_xlink,0.03333333333333333,growth,5,0.017285436495687055,0.00869303046329706,0.003887641409281743,5,351.6,25.314027731674784,11.320777358467923,5,0.0492435656194422,0.029948474496072568,0.013393364959127404,5,0.3145427327679756,0.05110731920869472,0.02285588797968443,5
top_two_thirds_mixed_polarity,rotatable_xlink,0.05,growth,5,0.03307912332712193,0.028424340449288238,0.012711751492041082,5,361.2,24.96397404260788,11.16422858956229,5,0.052745509193003706,0.02616832780497082,0.011702831965882522,5,0.31866978328750034,0.05067225044133544,0.022661319311943953,5
top_two_thirds_mixed_polarity,rotatable_xlink,0.06666666666666667,growth,5,0.02972001573394889,0.010855101405173146,0.004854548928924128,5,369.2,22.521101216414795,10.071742649611336,5,0.05706392552440207,0.03205197065012013,0.014334077037299347,5,0.31725411304983203,0.06113262765619084,0.02733934221648527,5
top_two_thirds_mixed_polarity,rotatable_xlink,0.08333333333333333,growth,5,0.055017686264631174,0.04211083578774472,0.01883253828214562,5,382.0,20.29778313018444,9.077444574328172,5,0.05419644121603031,0.03057532395839306,0.013673700561008967,5,0.3125514400661705,0.05967684641698726,0.026688297054239654,5
top_two_thirds_mixed_polarity,rotatable_xlink,0.1,growth,5,0.049558814557883225,0.04443792586752633,0.019873244603777037,5,392.8,16.46815108019112,7.364781055808787,5,0.06303193690350242,0.030615922036000394,0.013691856573266128,5,0.3203712197526631,0.060597438201846474,0.027099998216334267,5
top_two_thirds_mixed_polarity,rotatable_xlink,0.11666666666666667,growth,5,0.03574541342688973,0.029210461807350794,0.013063315651079547,5,402.0,15.297058540778355,6.841052550594828,5,0.0646500638569604,0.02857236864028571,0.012777951711572417,5,0.3199534756431308,0.06408454047805752,0.028659477763154695,5
top_two_thirds_mixed_polarity,rotatable_xlink,0.13333333333333333,growth,5,0.03163627298100311,0.027538105544738862,0.012315415193919994,5,414.8,11.099549540409285,4.963869458396342,5,0.06550571932446903,0.025797013761057818,0.01153677527724456,5,0.32077459020582555,0.056306366205736556,0.025180972480404767,5
