scenario,condition,run_dir,time_min,phase_name,z_com,theta_com,vz_abs,vz_signed,Dz,top_bias,nematic_xy,shell_occ,swirl_rate_abs,speckle_length_proxy_um,seed_zone_mass_fraction,chewer_band_mass_fraction,bottom_half_mass_fraction,axial_spread_entropy
full_height_aligned,nomotor_xlink,r0008,9.15,motor,3.2949734251968508,1.1033636342332227,0.0018372567408688756,0.0018372567408688756,1.0,0.5963302752293578,0.024971443727875818,0.009982638888888888,0.001393896150012619,1016.0,0.9999999999999994,0.09251968503937008,0.27952755905511806,0.9218784762107847
full_height_aligned,nomotor_xlink,r0008,9.166666666666668,motor,3.2962471512770137,1.06377022229964,0.0031869612719086504,0.0031869612719086504,1.0,0.5770392749244713,0.09051649886517192,0.00993923611111111,0.023799712698862385,1018.0,1.0000000000000002,0.09233791748526524,0.2829076620825147,0.9196335400079914
full_height_aligned,nomotor_xlink,r0008,9.183333333333334,motor,3.301347347740668,1.055764208835498,0.014247881054406442,0.014247881054406442,1.0,0.5866261398176292,0.06809424032544274,0.010069444444444445,0.018792142757978247,1018.0,1.0,0.09233791748526524,0.280943025540275,0.9245395081394621
full_height_aligned,nomotor_xlink,r0008,9.2,motor,3.3247429133858266,1.0261859367836834,0.009353393058799897,0.009353393058799897,1.0,0.5818181818181818,0.051114267886671026,0.0099609375,0.005486162317666854,1016.0,1.0000000000000004,0.08875739644970412,0.2840236686390532,0.923007273277158
full_height_aligned,nomotor_xlink,r0008,9.216666666666667,motor,3.320054133858268,1.0447918842001642,0.00038799212598394917,-0.00038799212598394917,1.0,0.5649546827794562,0.06434534356156162,0.0099609375,0.0003161026266712552,1016.0,1.0000000000000002,0.09072978303747532,0.27810650887573957,0.9204387301608081
full_height_aligned,nomotor_xlink,r0008,9.233333333333334,motor,3.3239669291338587,1.026818142037026,0.008417706246408363,0.008417706246408363,1.0,0.5853658536585366,0.06024023072434331,0.00993923611111111,0.009348219536156388,1016.0,1.0000000000000002,0.08893280632411067,0.2786561264822135,0.9202245246371661
full_height_aligned,nomotor_xlink,r0008,9.25,motor,3.3368895463510846,1.0260954451278514,0.0022383303048654213,0.0022383303048654213,1.0,0.5770392749244713,0.07044873805741987,0.010112847222222223,0.01585049715465925,1014.0,1.0,0.08678500986193294,0.2781065088757396,0.92460691421656
full_height_aligned,nomotor_xlink,r0008,9.266666666666666,motor,3.3284435897435896,0.9951171477277074,0.004246351084812305,-0.004246351084812305,1.0,0.5891238670694864,0.05475972679728804,0.010112847222222223,0.006342387240619862,1014.0,1.0,0.08875739644970412,0.2761341222879684,0.9206251556654803
full_height_aligned,nomotor_xlink,r0008,9.283333333333333,motor,3.32839684418146,1.0134106706466117,0.0062361932938856945,0.0062361932938856945,1.0,0.572289156626506,0.03863391980619702,0.009982638888888888,0.014468155155699325,1014.0,0.9999999999999997,0.08875739644970411,0.2761341222879684,0.9190061118738172
full_height_aligned,nomotor_xlink,r0008,9.3,motor,3.340915976331361,1.024053458039106,0.007313214990137817,0.007313214990137817,1.0,0.572289156626506,0.0714655624594338,0.00993923611111111,0.02611330631923503,1014.0,1.0,0.09072978303747531,0.2781065088757396,0.9189436150386391
full_height_aligned,nomotor_xlink,r0008,9.316666666666666,motor,3.3430232741617356,1.0656372832850818,0.002732563015421574,0.002732563015421574,1.0,0.5343283582089552,0.036340289748297276,0.00993923611111111,0.021231214790930375,1014.0,1.0,0.09072978303747532,0.27416173570019725,0.9213660493232638
full_height_aligned,nomotor_xlink,r0008,9.333333333333332,motor,3.346381102362204,1.0665158876209668,0.005234274876143141,-0.005234274876143141,1.0,0.5329341317365269,0.04921981030578851,0.010026041666666667,0.01090833173373107,1016.0,0.9999999999999997,0.0905511811023622,0.27559055118110226,0.918622815204637
full_height_aligned,nomotor_xlink,r0008,9.35,motor,3.3325547244094493,1.087453946752544,0.003569094488188762,-0.003569094488188762,1.0,0.5402985074626866,0.04891699303027003,0.010004340277777777,0.021319722541205288,1016.0,0.9999999999999997,0.0925196850393701,0.2755905511811024,0.9206283521932164
full_height_aligned,nomotor_xlink,r0008,9.366666666666667,motor,3.3392429133858266,1.1091553327033774,0.0024984251968507287,-0.0024984251968507287,1.0,0.5255255255255256,0.05329841926358318,0.010026041666666667,0.001943226343774862,1016.0,0.9999999999999997,0.09448818897637797,0.2775590551181103,0.9193614042134959
full_height_aligned,nomotor_xlink,r0008,9.383333333333333,motor,3.327557874015748,1.0913403994400936,0.0024607283464566088,-0.0024607283464566088,1.0,0.5283582089552239,0.04303749415843571,0.010026041666666667,0.005396844038305537,1016.0,0.9999999999999994,0.09645669291338584,0.2795275590551181,0.9197126656917314
full_height_aligned,nomotor_xlink,r0008,9.4,motor,3.3343214566929134,1.0983616446267663,0.0009673228346456231,-0.0009673228346456231,1.0,0.5105740181268882,0.026512798321751734,0.009678819444444445,0.006811581319627558,1016.0,0.9999999999999997,0.09251968503937007,0.2775590551181103,0.924511471865233
