model,group,case,xlink_regime,n_runs_used,mean_vz_abs_mean,mean_vz_abs_sem,std_vz_abs_mean,std_vz_abs_sem,peak_vz_abs_mean,peak_vz_abs_sem,time_to_peak_min_mean,time_to_peak_min_sem,auc_vz_abs_mean,auc_vz_abs_sem,active_transport_fraction_mean,active_transport_fraction_sem,onset_time_min_mean,onset_time_min_sem,net_z_displacement_mean,net_z_displacement_sem,abs_net_z_displacement_mean,abs_net_z_displacement_sem,early_mean_vz_abs_mean,early_mean_vz_abs_sem,mid_mean_vz_abs_mean,mid_mean_vz_abs_sem,late_mean_vz_abs_mean,late_mean_vz_abs_sem
fixed_global_motor_force,c40_m12,uf2p5,1:4,10,0.0025343434752977414,0.0001000510705097016,0.0020957636306648,9.749803914690639e-05,0.013009728339915547,0.0011185729754228761,5.386666666666667,1.601952512358544,2.01776132116418,0.08005149834609299,0.01125,0.00233482095435365,1.9666666666666666,0.0,0.6535515883126833,0.07542208558067279,0.6535515883126833,0.07542208558067279,0.0026118411857128433,0.00012378130975885382,0.0024647831689000965,8.501276435266146e-05,0.002543593997589723,0.0001492699100409588
fixed_global_motor_force,c40_m12,uf2p5,1:8,10,0.002672934205781043,9.005492583395387e-05,0.0022716655184200464,0.00010137807475010223,0.014793916462859286,0.0010060429266504746,6.590000000000001,1.3688875360743675,2.1300592867256123,0.0720871846304144,0.014750000000000003,0.002022443516585266,12.0,0.0,0.7761169172194664,0.07044762883870936,0.7761169172194664,0.07044762883870936,0.0028421488961606926,0.00011500597621727431,0.0026256249094181575,0.00010128476862165442,0.002573391047760086,0.00012624026438251806
fixed_global_motor_force,c40_m12,uf5p0,1:16,10,0.002929281109358329,0.00010328842644972309,0.0025923831419493535,9.939027855667284e-05,0.015344489665713326,0.0006312047494956035,4.356666666666667,0.9728417073986503,2.3346872850617637,0.08275132112079132,0.03,0.005190803834132478,6.4,2.756406678590403,0.7776435004634418,0.08905521197855422,0.7776435004634418,0.08905521197855422,0.0030088490976335047,0.000170732934089642,0.0029392607539717036,0.00013959025120312827,0.002845574717780068,0.00014041377387523146
fixed_global_motor_force,c40_m12,uf5p0,1:4,10,0.003031223613526914,8.344868015586893e-05,0.0027813313850611676,0.00014895481167428824,0.018692104805434425,0.002528445136603548,3.7300000000000004,1.268141928420192,2.4141300744930003,0.0660449212725602,0.03475,0.005393540375094801,1.5888888888888892,0.8111567719263493,0.8964772527273611,0.10725558391430903,0.8964772527273611,0.10725558391430903,0.0034342231502165373,0.00014768372749577943,0.0029690474514833345,0.00016367375231607164,0.0027363341436068512,0.00012551987365135825
fixed_global_motor_force,c40_m12,uf5p0,1:8,10,0.00296076049322509,0.00010143024367161322,0.0026277237252689263,7.016584232949626e-05,0.017267395948986703,0.0006789248821966232,4.84,1.3563367512222209,2.358214645096719,0.0800043248954393,0.027250000000000003,0.0030150087525209236,4.926666666666667,0.9842876724932716,0.8876975642610716,0.11633363507850734,0.8876975642610716,0.11633363507850734,0.003313308980797738,0.00014048511060668154,0.0028502217950019185,0.00016506189574775102,0.002767077552097843,0.00010101671563534423
fixed_global_motor_force,c40_m50,uf0p5,1:16,10,0.0023543045129118664,7.240113578665758e-05,0.0019060953729392917,5.9769775784706166e-05,0.01148622416812856,0.0008263781802960808,7.956666666666668,1.4534849564128687,1.8730618623688944,0.057764806198637726,0.0037500000000000007,0.0008539125638299664,nan,nan,0.2842845537513633,0.0666791296475169,0.2842845537513633,0.0666791296475169,0.002365323944541156,9.089321561633964e-05,0.0023775851308659073,8.994391594213148e-05,0.0023176372987363586,8.024030498105513e-05
fixed_global_motor_force,c40_m50,uf0p5,1:4,10,0.002441540466366505,0.00010570341376840073,0.002035604138369792,0.00010642697320314942,0.012315708406625782,0.0008092490941238057,8.293333333333333,1.1527615795381363,1.9425307880605438,0.08421097369586615,0.00925,0.0029356524923014223,7.6,0.0,0.3925972949746728,0.0903051066550518,0.3925972949746728,0.0903051066550518,0.002452714136792474,0.00011539782728404564,0.00247588909773534,0.00012671859266433964,0.0023920598443358536,0.00014492113950915128
fixed_global_motor_force,c40_m50,uf0p5,1:8,10,0.002389362314629498,0.00010650456898480474,0.0019692008812690386,9.588788302935939e-05,0.012499797855937826,0.0006344498989099751,8.7,1.4775772629210409,1.9008435135956234,0.0838999057542009,0.006,0.0016329931618554523,nan,nan,0.2303359893605307,0.05770001354708765,0.23378833377709732,0.05613605204662244,0.002447963368454836,0.0001310796685735341,0.0023910094654694654,0.00011390393148461517,0.002334243245688961,0.00013297733095032804
fixed_global_motor_force,c40_m50,uf1p0,1:16,9,0.0027480005684469232,0.00011937738477351289,0.0022987689587393415,8.574632421913704e-05,0.01488070892500892,0.0009644801811901607,4.2518518518518515,1.3056868859608326,2.191547989468651,0.09573008318617081,0.015277777777777779,0.0031303965748846235,nan,nan,0.7651617758306818,0.06821471721036874,0.7651617758306818,0.06821471721036874,0.0029134550114233654,0.00012631841132984824,0.0027308177200077504,0.00014193232985669038,0.002617377274948292,0.0001637104135472162
fixed_global_motor_force,c40_m50,uf1p0,1:4,10,0.0027878261492624143,0.00011503051280310879,0.0023351268257144485,0.00011188022861301505,0.015533350159987946,0.0009776519225190396,4.6,1.092985491189438,2.219663667851378,0.09138518920381936,0.01775,0.003342695186688596,nan,nan,0.7237409966244913,0.11783026353522741,0.7237409966244913,0.11783026353522741,0.002893807738224517,0.00013035174703828294,0.0027898608777594458,0.00014403881742344762,0.0026892229556666524,0.00013526167349552513
