model,group,case,xlink_regime,run_dir,run_path,n_frames_used,threshold_vz_abs,mean_vz_abs,peak_vz_abs,time_to_peak_min,auc_vz_abs,active_transport_fraction,onset_time_min,net_z_displacement,abs_net_z_displacement,early_mean_vz_abs,mid_mean_vz_abs,late_mean_vz_abs
control,control,c0_m0,1:16,r0029,/home/thekaka/project/cytosim/control/2/r0029,800,0.009608760109627612,0.0033842346081382722,0.01865956829981774,9.85,2.704022355447892,0.0375,nan,0.28214378180497246,0.28214378180497246,0.003683357571558124,0.003350624503723124,0.0031489573785106863
control,control,c0_m0,1:16,r0030,/home/thekaka/project/cytosim/control/2/r0030,800,0.009608760109627612,0.003154002311897632,0.021107756300805136,1.4,2.5175508289999255,0.03125,nan,-0.15904154588027808,0.15904154588027808,0.003720712586134374,0.002876547519746554,0.0029539742739771034
rotatable,mpc12,c10_m12,1:4,r0001,/home/thekaka/project/cytosim/clu/job11/save/r0001,400,0.009560635356359143,0.0030906755575535716,0.0156491604382209,1.9,2.467010028747735,0.035,nan,-0.3629964806435405,0.3629964806435405,0.003239551932443513,0.0031674789184883245,0.002867493933491618
rotatable,mpc12,c10_m12,1:4,r0004,/home/thekaka/project/cytosim/clu/job11/save/r0004,400,0.009560635356359143,0.003329696535177251,0.021858208663141927,13.333333333333334,2.6416411545998564,0.0325,0.43333333333333335,0.06008251676121681,0.06008251676121681,0.003819805804520672,0.003285182158397742,0.0029354534318570932
rotatable,mpc12,c10_m12,1:4,r0007,/home/thekaka/project/cytosim/clu/job11/save/r0007,400,0.009560635356359143,0.002682589771126005,0.013061572578245417,4.466666666666667,2.136152956355594,0.0075,nan,-0.07978430914716039,0.07978430914716039,0.002669455340251024,0.002290640138249738,0.0031433183375806826
rotatable,mpc12,c10_m12,1:4,r0010,/home/thekaka/project/cytosim/clu/job11/save/r0010,400,0.009560635356359143,0.003200701173161552,0.015255627734544641,3.0,2.555516782244103,0.0275,nan,0.5682344722398499,0.5682344722398499,0.0036277863515377516,0.0031589360312620457,0.0028605609827658117
rotatable,mpc12,c10_m12,1:4,r0013,/home/thekaka/project/cytosim/clu/job11/save/r0013,400,0.009560635356359143,0.00331396583150832,0.016688654353562038,4.666666666666667,2.6417532375544956,0.04,5.466666666666667,-0.7543346358950375,0.7543346358950375,0.003382317623389165,0.0038062462461787017,0.002688195408345132
rotatable,mpc12,c10_m12,1:4,r0016,/home/thekaka/project/cytosim/clu/job11/save/r0016,400,0.009560635356359143,0.0034825444479241498,0.016223475317149124,2.7,2.762473612795231,0.0475,nan,0.2164890633763324,0.2164890633763324,0.00409473269110768,0.003120394348744284,0.003341110203177123
rotatable,mpc12,c10_m12,1:4,r0019,/home/thekaka/project/cytosim/clu/job11/save/r0019,400,0.009560635356359143,0.0029690671274567506,0.012719301432301156,8.0,2.361856455161073,0.0225,nan,0.13077679449360968,0.13077679449360968,0.0034443718585698987,0.0029201979591569173,0.0025932588239644615
rotatable,mpc12,c10_m12,1:4,r0022,/home/thekaka/project/cytosim/clu/job11/save/r0022,400,0.009560635356359143,0.0030094122400968594,0.01582486189607764,7.866666666666666,2.4027895975888844,0.0275,7.833333333333333,-0.27030300452459816,0.27030300452459816,0.0031443032993637306,0.0029992238977543224,0.0028985436545901633
